NIT_RECEPTOR,NRC_RECEPTOR,ANIO,MES,TIPO_DOC,NUM_DOC,FECHA_EMISION,NIT_PROVEEDOR,NRC_PROVEEDOR,NOMBRE_PROVEEDOR,COMPRAS_EXENTAS,COMPRAS_NO_SUJETAS,COMPRAS_GRAVADAS_LOCALES,COMPRAS_GRAVADAS_IMPORTACION,CREDITO_FISCAL,TOTAL_COMPRA,CLASIFICACION_GASTO,NUM_ANULACION,TIPO_ANULACION,USO_COMPRA
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002101,30/07/2024,0614-301010-210-0,0-210-0,"INSUMOS INDUSTRIALES, S.A. DE C.V.",99.97,0,12326.34,0,1602.42,14028.73,ACTIVO_FIJO,ANU-COM-0000000001,01,PRODUCCION
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002102,01/07/2024,0614-230303-203-3,3-203-3,"IMPORTACIONES DEL CARIBE, S.A. DE C.V.",0,0,11955.86,0,1554.26,13510.12,ACTIVO_FIJO,,,ADMINISTRACION
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002103,05/07/2024,0614-311111-211-1,1-211-1,"PAPELERIA Y OFICINA, S.A. DE C.V.",0,0,4937.22,3458.37,1091.43,9487.02,ACTIVO_FIJO,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002104,27/07/2024,0614-331313-213-3,3-213-3,"MAQUINARIA PESADA, S.A. DE C.V.",0,0,11242.67,4933.02,2102.84,18278.53,INVENTARIO,,,REEXPORTACION
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002105,17/07/2024,0614-240404-204-4,4-204-4,"DISTRIBUIDORA OMEGA, S.A. DE C.V.",0,0,4320.55,563.4,634.91,5518.86,ACTIVO_FIJO,,,CONSUMO_PROPIO
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002106,06/07/2024,0614-311111-211-1,1-211-1,"PAPELERIA Y OFICINA, S.A. DE C.V.",0,182.1,4349.88,0,565.48,5097.46,ACTIVO_FIJO,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002107,24/07/2024,0614-210101-201-1,1-201-1,"PROVEEDOR AGRICOLA, S.A. DE C.V.",0,0,15752.74,0,2047.86,17800.6,GASTO_ADMINISTRACION,,,CONSUMO_PROPIO
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002108,19/07/2024,0614-260606-206-6,6-206-6,"MATERIALES Y SUMINISTROS, S.A. DE C.V.",0,0,17987.78,0,2338.41,20326.19,GASTO_ADMINISTRACION,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002109,24/07/2024,0614-270707-207-7,7-207-7,"EDITORIAL CENTROAMERICA, S.A. DE C.V.",0,0,4569.12,0,593.99,5163.11,ACTIVO_FIJO,,,ADMINISTRACION
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002110,30/07/2024,0614-301010-210-0,0-210-0,"INSUMOS INDUSTRIALES, S.A. DE C.V.",0,0,2900.81,0,377.11,3277.92,GASTO_VENTA,,,ADMINISTRACION
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002111,05/07/2024,0614-210101-201-1,1-201-1,"PROVEEDOR AGRICOLA, S.A. DE C.V.",0,68.25,17062.7,0,2218.15,19349.1,GASTO_VENTA,,,ADMINISTRACION
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002112,20/07/2024,0614-230303-203-3,3-203-3,"IMPORTACIONES DEL CARIBE, S.A. DE C.V.",0,0,12308.26,4850.68,2230.66,19389.6,COSTO_VENTA,,,CONSUMO_PROPIO
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002113,16/07/2024,0614-341414-214-4,4-214-4,"SEGUROS NACIONALES, S.A. DE C.V.",0,0,16772.38,0,2180.41,18952.79,GASTO_ADMINISTRACION,,,ADMINISTRACION
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002114,14/07/2024,0614-301010-210-0,0-210-0,"INSUMOS INDUSTRIALES, S.A. DE C.V.",0,0,18935.8,0,2461.65,21397.45,ACTIVO_FIJO,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002115,16/07/2024,0614-321212-212-2,2-212-2,"LUBRICANTES Y COMBUSTIBLES, S.A. DE C.V.",0,265.56,9689.53,0,1259.64,11214.73,ACTIVO_FIJO,,,CONSUMO_PROPIO
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002116,03/07/2024,0614-290909-209-9,9-209-9,"TRANSPORTE RAPIDO, S.A. DE C.V.",0,0,8251.04,0,1072.64,9323.68,GASTO_ADMINISTRACION,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002117,16/07/2024,0614-311111-211-1,1-211-1,"PAPELERIA Y OFICINA, S.A. DE C.V.",0,0,17186.86,0,2234.29,19421.15,ACTIVO_FIJO,ANU-COM-0000000017,01,CONSUMO_PROPIO
0614-050101-001-0,123456-7,2024,07,01,CCF-0000002118,28/07/2024,0614-321212-212-2,2-212-2,"LUBRICANTES Y COMBUSTIBLES, S.A. DE C.V.",0,0,7534.33,0,979.46,8513.79,COSTO_VENTA,,,CONSUMO_PROPIO
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002119,11/07/2024,0614-290909-209-9,9-209-9,"TRANSPORTE RAPIDO, S.A. DE C.V.",425.9,0,18932.69,0,2461.25,21819.84,COSTO_VENTA,,,REEXPORTACION
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002120,30/07/2024,0614-210101-201-1,1-201-1,"PROVEEDOR AGRICOLA, S.A. DE C.V.",0,0,7407.01,1914.77,1211.83,10533.61,COSTO_VENTA,,,REEXPORTACION
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002121,06/07/2024,0614-311111-211-1,1-211-1,"PAPELERIA Y OFICINA, S.A. DE C.V.",0,0,14244.88,0,1851.83,16096.71,GASTO_ADMINISTRACION,,,PRODUCCION
0614-050101-001-0,123456-7,2024,07,05,FAC-PROV-0000002122,16/07/2024,0614-321212-212-2,2-212-2,"LUBRICANTES Y COMBUSTIBLES, S.A. DE C.V.",0,0,19190.25,0,2494.73,21684.98,GASTO_ADMINISTRACION,,,REEXPORTACION
0614-050101-001-0,123456-7,2024,07,03,FAC-PROV-0000002123,29/07/2024,0614-250505-205-5,5-205-5,"SERVICIOS TECNICOS, S.A. DE C.V.",0,0,1278.31,0,166.18,1444.49,INVENTARIO,,,PRODUCCION
