NIT_EMISOR,NRC_EMISOR,ANIO,MES,TIPO_DOC,NUM_DOC,FECHA_EMISION,NIT_CLIENTE,NRC_CLIENTE,NOMBRE_CLIENTE,VENTAS_EXENTAS,VENTAS_NO_SUJETAS,VENTAS_GRAVADAS,DEBITO_FISCAL,TOTAL_VENTA,NUM_ANULACION,TIPO_ANULACION,SECTOR_ECONOMICO,CLASIFICACION_PRODUCTO
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000701,24/07/2024,0614-090909-109-9,9-109-9,"HOTEL PRESIDENTE, S.A. DE C.V.",0,0,1627.18,211.53,1838.71,,,CONSTRUCCION,BIENES
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000702,02/07/2024,0614-010101-101-1,1-101-1,"SUPERMERCADOS EL SALVADOR, S.A. DE C.V.",116.33,0,8462.55,1100.13,9679.01,,,CONSTRUCCION,SERVICIOS
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000703,15/07/2024,0614-191919-119-9,9-119-9,"LABORATORIO CLINICO ALFA, S.A. DE C.V.",0,0,11406.23,1482.81,12889.04,,,AGRICULTURA,SERVICIOS
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000704,05/07/2024,0614-070707-107-7,7-107-7,"IMPORTADORA DEL PACIFICO, S.A. DE C.V.",0,0,1481.91,192.65,1674.56,,,INDUSTRIA,MIXTO
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000705,26/07/2024,0614-020202-102-2,2-102-2,"DISTRIBUIDORA CENTRAL, S.A. DE C.V.",0,0,14599.42,1897.92,16497.34,,,CONSTRUCCION,SERVICIOS
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000706,19/07/2024,0614-070707-107-7,7-107-7,"IMPORTADORA DEL PACIFICO, S.A. DE C.V.",0,45.58,4411.88,573.54,5031.0,,,SERVICIOS,BIENES
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000707,09/07/2024,0614-151515-115-5,5-115-5,"SERVICIOS LOGISTICOS, S.A. DE C.V.",0,0,5615.7,730.04,6345.74,,,INDUSTRIA,MIXTO
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000708,20/07/2024,0614-060606-106-6,6-106-6,"TECNOLOGIA Y SOLUCIONES, S.A. DE C.V.",0,0,6987.68,908.4,7896.08,,,CONSTRUCCION,BIENES
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000709,27/07/2024,0614-020202-102-2,2-102-2,"DISTRIBUIDORA CENTRAL, S.A. DE C.V.",0,63.09,4089.34,531.61,4684.04,,,CONSTRUCCION,MIXTO
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000710,07/07/2024,0614-161616-116-6,6-116-6,"INVERSIONES REALES, S.A. DE C.V.",0,0,6936.89,901.8,7838.69,,,SERVICIOS,MIXTO
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000711,24/07/2024,0614-191919-119-9,9-119-9,"LABORATORIO CLINICO ALFA, S.A. DE C.V.",0,0,5493.75,714.19,6207.94,,,SERVICIOS,MIXTO
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000712,03/07/2024,0614-020202-102-2,2-102-2,"DISTRIBUIDORA CENTRAL, S.A. DE C.V.",0,0,2483.73,322.88,2806.61,,,CONSTRUCCION,BIENES
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000713,13/07/2024,0614-202020-120-0,0-120-0,"COMERCIAL VARIEDADES, S.A. DE C.V.",0,0,14569.07,1893.98,16463.05,,,COMERCIO,MIXTO
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000714,22/07/2024,0614-181818-118-8,8-118-8,"CONSULTORIA EMPRESARIAL, S.A. DE C.V.",0,0,5168.61,671.92,5840.53,,,SERVICIOS,SERVICIOS
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000715,31/07/2024,0614-090909-109-9,9-109-9,"HOTEL PRESIDENTE, S.A. DE C.V.",0,0,7664.46,996.38,8660.84,,,INDUSTRIA,MIXTO
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000716,05/07/2024,0614-121212-112-2,2-112-2,"ALIMENTOS PROCESADOS SV, S.A. DE C.V.",0,0,11701.53,1521.2,13222.73,,,COMERCIO,MIXTO
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000717,16/07/2024,0614-010101-101-1,1-101-1,"SUPERMERCADOS EL SALVADOR, S.A. DE C.V.",181.49,0,12120.94,1575.72,13878.15,,,SERVICIOS,MIXTO
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000718,03/07/2024,0614-161616-116-6,6-116-6,"INVERSIONES REALES, S.A. DE C.V.",0,0,8037.32,1044.85,9082.17,,,AGRICULTURA,MIXTO
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000719,09/07/2024,0614-171717-117-7,7-117-7,"ELECTRODOMESTICOS DEL SUR, S.A. DE C.V.",0,0,3255.79,423.25,3679.04,,,SERVICIOS,MIXTO
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000720,13/07/2024,0614-121212-112-2,2-112-2,"ALIMENTOS PROCESADOS SV, S.A. DE C.V.",0,0,1902.96,247.38,2150.34,,,INDUSTRIA,BIENES
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000721,19/07/2024,0614-080808-108-8,8-108-8,"AGENCIA AUTOMOTRIZ CENTRAL, S.A. DE C.V.",353.92,13.48,568.05,73.85,1009.3,,,CONSTRUCCION,BIENES
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000722,22/07/2024,0614-161616-116-6,6-116-6,"INVERSIONES REALES, S.A. DE C.V.",0,0,14039.16,1825.09,15864.25,,,AGRICULTURA,BIENES
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000723,26/07/2024,0614-141414-114-4,4-114-4,"RESTAURANTE LA PAMPA, S.A. DE C.V.",0,0,6522.66,847.95,7370.61,,,AGRICULTURA,MIXTO
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000724,22/07/2024,0614-040404-104-4,4-104-4,"FARMACIA AMERICANA, S.A. DE C.V.",364.11,0,1728.11,224.65,2316.87,,,CONSTRUCCION,SERVICIOS
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000725,14/07/2024,0614-060606-106-6,6-106-6,"TECNOLOGIA Y SOLUCIONES, S.A. DE C.V.",0,0,13856.66,1801.37,15658.03,,,CONSTRUCCION,BIENES
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000726,21/07/2024,0614-181818-118-8,8-118-8,"CONSULTORIA EMPRESARIAL, S.A. DE C.V.",0,0,13902.87,1807.37,15710.24,,,SERVICIOS,SERVICIOS
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000727,16/07/2024,0614-070707-107-7,7-107-7,"IMPORTADORA DEL PACIFICO, S.A. DE C.V.",0,0,2553.09,331.9,2884.99,ANU-0000000027,01,AGRICULTURA,SERVICIOS
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000728,10/07/2024,0614-141414-114-4,4-114-4,"RESTAURANTE LA PAMPA, S.A. DE C.V.",0,0,11772.09,1530.37,13302.46,,,AGRICULTURA,BIENES
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000729,10/07/2024,0614-070707-107-7,7-107-7,"IMPORTADORA DEL PACIFICO, S.A. DE C.V.",0,0,8178.71,1063.23,9241.94,,,COMERCIO,BIENES
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000730,17/07/2024,0614-171717-117-7,7-117-7,"ELECTRODOMESTICOS DEL SUR, S.A. DE C.V.",0,0,1293.66,168.18,1461.84,,,CONSTRUCCION,BIENES
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000731,13/07/2024,0614-040404-104-4,4-104-4,"FARMACIA AMERICANA, S.A. DE C.V.",0,0,8725.89,1134.37,9860.26,ANU-0000000031,01,COMERCIO,SERVICIOS
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000732,30/07/2024,0614-090909-109-9,9-109-9,"HOTEL PRESIDENTE, S.A. DE C.V.",0,0,3656.42,475.33,4131.75,,,INDUSTRIA,SERVICIOS
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000733,30/07/2024,0614-030303-103-3,3-103-3,"FERRETERIA LA UNION, S.A. DE C.V.",310.58,0,1589.72,206.66,2106.96,,,CONSTRUCCION,SERVICIOS
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000734,30/07/2024,0614-121212-112-2,2-112-2,"ALIMENTOS PROCESADOS SV, S.A. DE C.V.",0,0,5605.95,728.77,6334.72,,,CONSTRUCCION,MIXTO
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000735,20/07/2024,0614-171717-117-7,7-117-7,"ELECTRODOMESTICOS DEL SUR, S.A. DE C.V.",408.55,0,9984.49,1297.98,11691.02,,,SERVICIOS,SERVICIOS
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000736,29/07/2024,0614-040404-104-4,4-104-4,"FARMACIA AMERICANA, S.A. DE C.V.",0,0,4298.17,558.76,4856.93,,,INDUSTRIA,BIENES
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000737,17/07/2024,0614-161616-116-6,6-116-6,"INVERSIONES REALES, S.A. DE C.V.",0,0,856.9,111.4,968.3,,,INDUSTRIA,BIENES
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000738,11/07/2024,0614-050505-105-5,5-105-5,"CONSTRUCTORA NACIONAL, S.A. DE C.V.",0,0,11144.34,1448.76,12593.1,,,AGRICULTURA,MIXTO
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000739,04/07/2024,0614-030303-103-3,3-103-3,"FERRETERIA LA UNION, S.A. DE C.V.",0,0,2320.91,301.72,2622.63,ANU-0000000039,01,INDUSTRIA,MIXTO
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000740,14/07/2024,0614-050505-105-5,5-105-5,"CONSTRUCTORA NACIONAL, S.A. DE C.V.",182.33,0,14585.72,1896.14,16664.19,ANU-0000000040,01,INDUSTRIA,BIENES
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000741,22/07/2024,0614-040404-104-4,4-104-4,"FARMACIA AMERICANA, S.A. DE C.V.",0,0,13133.22,1707.32,14840.54,,,SERVICIOS,BIENES
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000742,26/07/2024,0614-060606-106-6,6-106-6,"TECNOLOGIA Y SOLUCIONES, S.A. DE C.V.",0,147.31,5049.56,656.44,5853.31,,,SERVICIOS,SERVICIOS
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000743,26/07/2024,0614-040404-104-4,4-104-4,"FARMACIA AMERICANA, S.A. DE C.V.",0,94.14,3073.64,399.57,3567.35,,,INDUSTRIA,SERVICIOS
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000744,08/07/2024,0614-010101-101-1,1-101-1,"SUPERMERCADOS EL SALVADOR, S.A. DE C.V.",0,0,4251.19,552.65,4803.84,,,INDUSTRIA,SERVICIOS
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000745,22/07/2024,0614-181818-118-8,8-118-8,"CONSULTORIA EMPRESARIAL, S.A. DE C.V.",0,175.41,3992.11,518.97,4686.49,,,INDUSTRIA,BIENES
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000746,20/07/2024,0614-141414-114-4,4-114-4,"RESTAURANTE LA PAMPA, S.A. DE C.V.",0,0,6602.27,858.3,7460.57,,,COMERCIO,SERVICIOS
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000747,09/07/2024,0614-020202-102-2,2-102-2,"DISTRIBUIDORA CENTRAL, S.A. DE C.V.",0,185.12,8122.93,1055.98,9364.03,,,SERVICIOS,SERVICIOS
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000748,03/07/2024,0614-111111-111-1,1-111-1,"TEXTILES DEL NORTE, S.A. DE C.V.",0,0,1956.92,254.4,2211.32,,,CONSTRUCCION,SERVICIOS
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000749,11/07/2024,0614-131313-113-3,3-113-3,"LIBRERIA UNIVERSITARIA, S.A. DE C.V.",0,0,2958.42,384.59,3343.01,,,AGRICULTURA,MIXTO
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000750,20/07/2024,0614-191919-119-9,9-119-9,"LABORATORIO CLINICO ALFA, S.A. DE C.V.",0,0,106.05,13.79,119.84,,,AGRICULTURA,MIXTO
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000751,15/07/2024,0614-151515-115-5,5-115-5,"SERVICIOS LOGISTICOS, S.A. DE C.V.",0,0,7150.47,929.56,8080.03,,,SERVICIOS,MIXTO
0614-050101-001-0,123456-7,2024,07,01,DTE-01-0000000752,10/07/2024,0614-171717-117-7,7-117-7,"ELECTRODOMESTICOS DEL SUR, S.A. DE C.V.",0,0,1491.47,193.89,1685.36,,,SERVICIOS,MIXTO
0614-050101-001-0,123456-7,2024,07,03,FAC-0000000753,08/07/2024,0614-070707-107-7,7-107-7,"IMPORTADORA DEL PACIFICO, S.A. DE C.V.",23.11,0,9207.98,1197.04,10428.13,,,AGRICULTURA,SERVICIOS
